id,self_link,title,subtitle,authors,publisher,description,industry_identifier,reading_modes_text,reading_modes_image,page_count,categories,language,image_link,ratings_count,average_rating,sale_country,saleability,is_ebook,list_price_amount,list_price_currency,retail_price_amount,retail_price_currency,buy_link,published_date
_UT1ZwEACAAJ,https://www.googleapis.com/books/v1/volumes/_UT1ZwEACAAJ,"Problem Solving with Algorithms and Data Structures Using Python",,"Bradley N. Miller, David L. Ranum","Franklin Beedle & Associates","Thes book has three key features : fundamental data structures and algorithms; algorithm analysis in terms of Big-O running time in introducied early and applied throught; pytohn is used to facilitates the success in using and mastering data strucutes and algorithms.",1590282574,0,0,0,Algorithms,en,http://books.google.com/books/content?id=_UT1ZwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2011
_UUEtAEACAAJ,https://www.googleapis.com/books/v1/volumes/_UUEtAEACAAJ,"Flask Web Development, 2nd Edition",,"Miguel Grinberg",,"With Early Release ebooks, you get books in their earliest form — the author's raw and unedited content as he or she writes — so you can take advantage of these technologies long before the official release of these titles. You'll also receive updates when significant changes are made, new chapters are available, and the final ebook bundle is released. Take full creative control of your web applications with Flask, the Python-based microframework. With the second edition of this hands-on book, you’ll learn the framework from the ground up by developing, step-by-step, a real-world project created by author Miguel Grinberg. This refreshed edition accounts for important technology changes that have occurred in the past three years. You’ll learn the framework’s core functionality, as well as how to extend applications with advanced web techniques such as database migration and web service communication. The first part of each chapter provides you with reference and background for the topic in question, while the second part guides you though a hands-on implementation of the topic. If you have Python experience, this book shows you how to take advantage of the creative freedom Flask provides.",1491991720,0,0,250,"Python (Computer program language)",en,,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2018
_VXhAAAAMAAJ,https://www.googleapis.com/books/v1/volumes/_VXhAAAAMAAJ,"When Lion Could Fly","And Other Tales from Africa","Nick Greaves","Barron's Educational Series","Over thirty fascinating stories from African folklore and mythology about the animals of the grasslands and rainforest, with fact files about each creature and maps showing their distribution.",UOM:39015029965434,0,0,152,"Juvenile Fiction",en,http://books.google.com/books/content?id=_VXhAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1993
_zJS8gCc3pkC,https://www.googleapis.com/books/v1/volumes/_zJS8gCc3pkC,"Head First Programming","A learner's guide to programming using the Python language","David Griffiths, Paul Barry",""O'Reilly Media, Inc."","Looking for a reliable way to learn how to program on your own, without being overwhelmed by confusing concepts? Head First Programming introduces the core concepts of writing computer programs -- variables, decisions, loops, functions, and objects -- which apply regardless of the programming language. This book offers concrete examples and exercises in the dynamic and versatile Python language to demonstrate and reinforce these concepts. Learn the basic tools to start writing the programs that interest you, and get a better understanding of what software can (and cannot) do. When you're finished, you'll have the necessary foundation to learn any programming language or tackle any software project you choose. With a focus on programming concepts, this book teaches you how to: Understand the core features of all programming languages, including: variables, statements, decisions, loops, expressions, and operators Reuse code with functions Use library code to save time and effort Select the best data structure to manage complex data Write programs that talk to the Web Share your data with other programs Write programs that test themselves and help you avoid embarrassing coding errors We think your time is too valuable to waste struggling with new concepts. Using the latest research in cognitive science and learning theory to craft a multi-sensory learning experience, Head First Programming uses a visually rich format designed for the way your brain works, not a text-heavy approach that puts you to sleep.",9781449369811,1,1,440,Computers,en,http://books.google.com/books/content?id=_zJS8gCc3pkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,2950,INR,2950,INR,https://play.google.com/store/books/details?id=_zJS8gCc3pkC&rdid=book-_zJS8gCc3pkC&rdot=1&source=gbs_api,2009-11-16
-0gBwwEACAAJ,https://www.googleapis.com/books/v1/volumes/-0gBwwEACAAJ,"R: in 8 Hours, for Beginners, Learn Coding Fast!",,"Ray Yao",,"About This BookThis Book Absolutely for Beginners:"R in 8 Hours" covers all essential R language knowledge. You can learn complete primary skills of R language fast and easily. The book includes more than 80 practical examples for beginners and includes tests & answers for the college exam, the engineer certification exam, and the job interview exam. Source Code for Download:This book provides source code for download; you can download the source code for better study, or copy the source code to your favorite editor to test the programs. Download link: forms.aweber.com/form/29/1359658629.htm Table of ContentsHour 1R InstallationTest R ProgramHour 2Run R ProgramCommentData TypeVariablesVariable AssignmentC( ) functionVector AssignmentPrint Value of VariableSearch VariablesMatch VariablesRemove VariablesHour 3OperatorsAdditionSubtractionMultiplicationDivisionRemainderModulusExponentiationGreater ThanLess ThanEqual ToGreater Than or Equal ToLess Than or Equal ToNot Equal ToANDORNOTLogical ANDLogical ORLeft AssignmentRight AssignmentColon operatorMember OperatorHour 4If StatementIf...else StatementSwitch StatementLoopRepeat LoopWhile LoopFor LoopFunctionFunction without ArgumentFunction with default argumentsBuilt-in FunctionsStringGet a SubStringConvert to StringConnect StringsCount the String NumbersConvert to Upper CaseConvert to Lower CaseCharacter ReplacementHour 5VectorCreate a Vectorsep( ) functionAccess the VectorDelete Vector ElementVector AdditionVector SubtractionVector MultiplicationVector DivisionVector of Different LengthSorting VectorListCreate ListAccess the Elements of ListAdd an Element to ListRemove the Last ElementUpdate an ElementMerge Two ListsConvert List to VectorHour 6MatrixCreate a MatrixAccess the MatrixExamples of Creating MatricesMatrix AdditionMatrix SubtractionMatrix MultiplicationMatrix DivisionName the Rows & ColumnsArrayName the ArrayAccess ArrayArray OperationHour 7FactorChange Level SequenceSet the Factor LevelData FramesData Frame StructureSummary of Data FramesShow Specified DataHour 8Add Columns to Data FrameAdd Rows to Data Framecbine( ) FunctionCombines Data FramesR PackagesCheck Directory of R LibrariesView Installed PackagesView the Using PackagesInstall New PackagesLoad the PackageAppendix R Tests & AnswersTestsAnswersThis book includes R Language Tests & Answers for an interview, college exam, and engineer certification exam.Click the Buy button now, start coding today! Tags:R, R language, R book, R ebook, R web design, learning R, R coding, R programming, learn R, R reference, R tutorial, R crash course, study R step by step, R example, R sample, R ultimate guide, R code, R program, R develop, R development, R interview, R test, R job, R for beginners, R quick start guide, R for dummies, R in 8 hours, R for kids",1731132174,0,0,143,,en,,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2018-11-10
-9_dDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/-9_dDwAAQBAJ,"Python Image Processing Cookbook","Over 60 recipes to help you perform complex image processing and computer vision tasks with ease","Sandipan Dey","Packt Publishing Ltd","Explore Keras, scikit-image, open source computer vision (OpenCV), Matplotlib, and a wide range of other Python tools and frameworks to solve real-world image processing problems Key FeaturesDiscover solutions to complex image processing tasks using Python tools such as scikit-image and KerasLearn popular concepts such as machine learning, deep learning, and neural networks for image processingExplore common and not-so-common challenges faced in image processingBook Description With the advancements in wireless devices and mobile technology, there's increasing demand for people with digital image processing skills in order to extract useful information from the ever-growing volume of images. This book provides comprehensive coverage of the relevant tools and algorithms, and guides you through analysis and visualization for image processing. With the help of over 60 cutting-edge recipes, you'll address common challenges in image processing and learn how to perform complex tasks such as object detection, image segmentation, and image reconstruction using large hybrid datasets. Dedicated sections will also take you through implementing various image enhancement and image restoration techniques, such as cartooning, gradient blending, and sparse dictionary learning. As you advance, you'll get to grips with face morphing and image segmentation techniques. With an emphasis on practical solutions, this book will help you apply deep learning techniques such as transfer learning and fine-tuning to solve real-world problems. By the end of this book, you'll be proficient in utilizing the capabilities of the Python ecosystem to implement various image processing techniques effectively. What you will learnImplement supervised and unsupervised machine learning algorithms for image processingUse deep neural network models for advanced image processing tasksPerform image classification, object detection, and face recognitionApply image segmentation and registration techniques on medical images to assist doctorsUse classical image processing and deep learning methods for image restorationImplement text detection in images using Tesseract, the optical character recognition (OCR) engineUnderstand image enhancement techniques such as gradient blendingWho this book is for This book is for image processing engineers, computer vision engineers, software developers, machine learning engineers, or anyone who wants to become well-versed with image processing techniques and methods using a recipe-based approach. Although no image processing knowledge is expected, prior Python coding experience is necessary to understand key concepts covered in the book.",9781789535181,1,1,429,Computers,en,http://books.google.com/books/content?id=-9_dDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,3164,INR,3164,INR,https://play.google.com/store/books/details?id=-9_dDwAAQBAJ&rdid=book--9_dDwAAQBAJ&rdot=1&source=gbs_api,2020-04-17
-Iv-DwAAQBAJ,https://www.googleapis.com/books/v1/volumes/-Iv-DwAAQBAJ,"Together with Python",,"Ravish Kumar Mishra","Sankalp Publication","PREFACE This is the First Edition of a Simplified Course in computer science for Class XI and XII in your hands. Since the CBSE syllabus for computer science has many changes, this edition is the outcome for the same. This book is aimed at providing a thorough base and understanding in various latest trends in Information Technology. This book covers Python 3.x, the world class professional programming language. Class, Inheritance, Overloading, Boolean algebra, SQL, Python with SQL and Concept of Network. The first edition of this book lays the foundation for further studies by covering the aspects in elaborative yet simple language. The book has been divided in five Units. Unit I - Beginners of Python (Chapter 1-4) discuss various major and important terms in programming of Python such as, Data types, Function (UDF and Built-in) and statement controls(if, while, for etc.). Unit II – Together with Python (Chapter 5 – 7) introduces different terms of Python like, Array and List, Tuple and it Method, and Dictionary and it Methods. Unit III – OOPs with Python (chapter 8 – 14) covers various terms such as Class, Inheritance, Overloading, Multithreading and Exception Handling in details. It also discussed how OOPs are implemented in Python. Unit IV – Data Structure (Chapter 15- 16) introduces various data structure, their purposes and functions along with their implementation in Python. It provides details information about Stack, Queue, and Boolean algebra. Unit V - Programming with SQL in Python (Chapter 17 – 22) covers various file handling method. Different file operation, Database management system terms, programming with SQL, implement SQL in Python for development of back end program. We have worked our best to keep the presentation of this book short, simple, and catchy. Our goal is that by the end of each chapter, you feel confident about the contents and enjoy yourself doing so. Any suggestion for improvement of this book is welcome.",9788194717683,0,1,396,Computers,en,http://books.google.com/books/content?id=-Iv-DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,1061,INR,530,INR,https://play.google.com/store/books/details?id=-Iv-DwAAQBAJ&rdid=book--Iv-DwAAQBAJ&rdot=1&source=gbs_api,
-raPAQAACAAJ,https://www.googleapis.com/books/v1/volumes/-raPAQAACAAJ,"Real World Instrumentation with Python",,"John M. Hughes",,"Learn how to develop your own applications to monitor or control instrumentation hardware. Whether you need to acquire data from a device or automate its functions, this practical book shows you how to use Python's rapid development capabilities to build interfaces that include everything from software to wiring. You get step-by-step instructions, clear examples, and hands-on tips for interfacing a PC to a variety of devices. Use the book's hardware survey to identify the interface type for your particular device, and then follow detailed examples to develop an interface with Python and C. Organized by interface type, data processing activities, and user interface implementations, this book is for anyone who works with instrumentation, robotics, data acquisition, or process control. Understand how to define the scope of an application and determine the algorithms necessary, and why it's important Learn how to use industry-standard interfaces such as RS-232, RS-485, and GPIB Create low-level extension modules in C to interface Python with a variety of hardware and test instruments Explore the console, curses, TkInter, and wxPython for graphical and text-based user interfaces Use open source software tools and libraries to reduce costs and avoid implementing functionality from scratch.",1449390188,0,0,293,"Automatic control",en,http://books.google.com/books/content?id=-raPAQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2010
-yEaOSChpkEC,https://www.googleapis.com/books/v1/volumes/-yEaOSChpkEC,"Index-catalogue of Medical and Veterinary Zoology. Supplement 1-",,"United States. Bureau of Animal Industry. Zoological Division",,,PURD:32754070570373,0,0,1068,Parasites,en,http://books.google.com/books/content?id=-yEaOSChpkEC&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1953
-ZviDwAAQBAJ,https://www.googleapis.com/books/v1/volumes/-ZviDwAAQBAJ,"A Book about the Film Monty Python's The Meaning of Life","All the References from Americans to Zulu Nation","Darl Larsen","Rowman & Littlefield","This reference identifies and explains the cultural, historical, and topical allusions in the filmMonty Python’s Meaning of Life, the Pythons’ third and final original feature as a complete group. In this resource, virtually every allusion and reference that appears in the film is identified and explained —from Britain’s waning Empire through the Winter of Discontent to Margaret Thatcher’s second-term mandate, from playing fields to battle fields, and from accountant pirates to sacred sperm. Organized chronologically by scene, the entries cover literary and metaphoric allusions, symbolisms, names, peoples, and places; as well as the many social, cultural, and historical elements that populate this film, and the Pythons’ work in general.",9781538115978,1,1,445,"Performing Arts",en,http://books.google.com/books/content?id=-ZviDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,1,1,IN,NOT_FOR_SALE,0,0,,0,,,2020-06-29
0E9AAQAAMAAJ,https://www.googleapis.com/books/v1/volumes/0E9AAQAAMAAJ,"The Century Dictionary and Cyclopedia: The Century dictionary, ed. by W.D. Whitney",,,,,UCAL:$C2116,0,1,898,"Encyclopedias and dictionaries",en,http://books.google.com/books/content?id=0E9AAQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FREE,1,0,,0,,https://play.google.com/store/books/details?id=0E9AAQAAMAAJ&rdid=book-0E9AAQAAMAAJ&rdot=1&source=gbs_api,1904
0EF6Jm8_vSAC,https://www.googleapis.com/books/v1/volumes/0EF6Jm8_vSAC,"The 20th Century",,"Lorraine Glennon",,"Large pictorial and textual chronicle of world history throughout the 20th century.",1572152788,0,0,764,History,en,http://books.google.com/books/content?id=0EF6Jm8_vSAC&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1999
0gzxdVuIZCIC,https://www.googleapis.com/books/v1/volumes/0gzxdVuIZCIC,"Web Programming","Techniques for Integrating Python, Linux, Apache, and MySQL","George Kuriakose Thiruvathukal, John P. Shafaee, Thomas W. Christopher","Prentice Hall","This book is aimed at the practicing programmer seeking to use Python and Linux to rapidly develop web and enterprise services. Will be especially important to those involved in e-commerce programming.",0130410659,0,0,772,Computers,en,http://books.google.com/books/content?id=0gzxdVuIZCIC&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2002
0jszEAAAQBAJ,https://www.googleapis.com/books/v1/volumes/0jszEAAAQBAJ,"Practices of the Python Pro",,"Dane Hillard","Simon and Schuster","Summary Professional developers know the many benefits of writing application code that’s clean, well-organized, and easy to maintain. By learning and following established patterns and best practices, you can take your code and your career to a new level. With Practices of the Python Pro, you’ll learn to design professional-level, clean, easily maintainable software at scale using the incredibly popular programming language, Python. You’ll find easy-to-grok examples that use pseudocode and Python to introduce software development best practices, along with dozens of instantly useful techniques that will help you code like a pro. Purchase of the print book includes a free eBook in PDF, Kindle, and ePub formats from Manning Publications. About the technology Professional-quality code does more than just run without bugs. It’s clean, readable, and easy to maintain. To step up from a capable Python coder to a professional developer, you need to learn industry standards for coding style, application design, and development process. That’s where this book is indispensable. About the book Practices of the Python Pro teaches you to design and write professional-quality software that’s understandable, maintainable, and extensible. Dane Hillard is a Python pro who has helped many dozens of developers make this step, and he knows what it takes. With helpful examples and exercises, he teaches you when, why, and how to modularize your code, how to improve quality by reducing complexity, and much more. Embrace these core principles, and your code will become easier for you and others to read, maintain, and reuse. What's inside Organizing large Python projects Achieving the right levels of abstraction Writing clean, reusable code Inheritance and composition Considerations for testing and performance About the reader For readers familiar with the basics of Python, or another OO language. About the author Dane Hillard has spent the majority of his development career using Python to build web applications. Table of Contents: PART 1 WHY IT ALL MATTERS 1 ¦ The bigger picture PART 2 FOUNDATIONS OF DESIGN 2 ¦ Separation of concerns 3 ¦ Abstraction and encapsulation 4 ¦ Designing for high performance 5 ¦ Testing your software PART 3 NAILING DOWN LARGE SYSTEMS 6 ¦ Separation of concerns in practice 7 ¦ Extensibility and flexibility 8 ¦ The rules (and exceptions) of inheritance 9 ¦ Keeping things lightweight 10 ¦ Achieving loose coupling PART 4 WHAT’S NEXT? 11 ¦ Onward and upward",9781638350132,1,0,378,Computers,en,http://books.google.com/books/content?id=0jszEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,1,2086,INR,2086,INR,https://play.google.com/store/books/details?id=0jszEAAAQBAJ&rdid=book-0jszEAAAQBAJ&rdot=1&source=gbs_api,2019-12-22
0Ol0Af2MYQYC,https://www.googleapis.com/books/v1/volumes/0Ol0Af2MYQYC,"Ball Pythons",,"John Coburn, John Coborn","TFH Publications",,0793802601,0,0,68,Nature,en,http://books.google.com/books/content?id=0Ol0Af2MYQYC&printsec=frontcover&img=1&zoom=5&source=gbs_api,1,3,IN,NOT_FOR_SALE,0,0,,0,,,1994
0SkJAQAAMAAJ,https://www.googleapis.com/books/v1/volumes/0SkJAQAAMAAJ,"Australia's Cape York Peninsula",,"Clifford B. Frith, Dawn W. Frith","Conran Octopus",,PSU:000020462529,0,0,84,Nature,en,http://books.google.com/books/content?id=0SkJAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,1991
0TyfwgEACAAJ,https://www.googleapis.com/books/v1/volumes/0TyfwgEACAAJ,"Getting Started with Python",,"Fabrizio Romano, Benjamin Baka, Dusty Phillips",,,1838551913,0,0,722,,en,http://books.google.com/books/content?id=0TyfwgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2019-02-27
0vr7vQAACAAJ,https://www.googleapis.com/books/v1/volumes/0vr7vQAACAAJ,Python,"The Complete Beginner's Guide","Byron Francis","Createspace Independent Publishing Platform","Python - The Complete Beginner's Guide! If you are new to programming with Python and are looking for a solid introduction, this is the book for you. Developed by computer science instructors, books in the "for the absolute beginner" series teach the principles of programming through simple game creation. You will acquire the skills that you need for practical Python programming applications and will learn how these skills can be put to use in real-world scenarios. Throughout the chapters, you will find code samples that illustrate concepts presented. At the end of each chapter, you will find a complete game that demonstrates the key ideas in the chapter, a summary of the chapter, and a set of challenges that tests your newfound knowledge. By the time you finish this book, you'll be well versed in Python and be able to apply the basic programming principles you've learned to the next programming language you tackle. Here Is A Preview Of What Inside The Book: What is Python and why learn it? Installation Variables and Datatypes Basic Operators Sequences Working with lists Working with strings Sets Dictionaries Conditionals Loops Custom Functions Classes Modules and Packages File Handling Advanced Functionalities Exercises and solutions Take Action Today and Learn Python Programming In No Time! Click the "Buy now with 1-Click" to the right and get this guide immediately.",1535483830,0,0,112,,en,http://books.google.com/books/content?id=0vr7vQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,0,0,IN,NOT_FOR_SALE,0,0,,0,,,2016-07-25
